,age,overall,diff,positioning,fk_accuracy,dribbling,long_passing,agility,ball_control,stamina,strength,interceptions,vision,short_passing,curve,aggression,composure,standing_tackle
0,3.258096538021482,4.356708826689592,1.0986122886681098,4.31748811353631,4.290459441148391,4.418840607796598,4.382026634673881,4.174387269895637,4.430816798843313,4.23410650459726,4.330733340286331,3.9889840465642745,4.382026634673881,4.418840607796598,4.23410650459726,4.30406509320417,4.382026634673881,4.0943445622221
2,3.258096538021482,4.442651256490317,1.0986122886681098,4.430816798843313,4.454347296253507,4.442651256490317,4.30406509320417,4.382026634673881,4.430816798843313,4.394449154672439,4.394449154672439,3.332204510175204,4.430816798843313,4.394449154672439,4.442651256490317,4.31748811353631,4.356708826689592,3.4339872044851463
4,3.258096538021482,4.418840607796598,0.6931471805599453,4.418840607796598,4.356708826689592,4.3694478524670215,4.3694478524670215,4.31748811353631,4.406719247264253,4.430816798843313,4.330733340286331,4.1588830833596715,4.418840607796598,4.418840607796598,4.31748811353631,4.343805421853684,4.382026634673881,4.1588830833596715
5,3.258096538021482,4.343805421853684,1.6094379124341003,4.219507705176107,4.174387269895637,4.290459441148391,4.276666119016055,4.110873864173311,4.330733340286331,4.465908118654584,4.442651256490317,4.330733340286331,4.2626798770413155,4.343805421853684,4.276666119016055,4.394449154672439,4.290459441148391,4.31748811353631
6,3.2188758248682006,4.3694478524670215,1.3862943611198906,4.204692619390966,4.48863636973214,4.31748811353631,4.406719247264253,4.31748811353631,4.406719247264253,4.499809670330265,4.02535169073515,4.204692619390966,4.406719247264253,4.442651256490317,4.51085950651685,4.204692619390966,4.3694478524670215,4.219507705176107
7,3.1780538303479458,4.442651256490317,0.6931471805599453,4.442651256490317,4.127134385045092,4.465908118654584,4.30406509320417,4.454347296253507,4.418840607796598,4.356708826689592,4.23410650459726,3.6375861597263857,4.418840607796598,4.3694478524670215,4.30406509320417,4.143134726391533,4.382026634673881,3.784189633918261
8,3.1780538303479458,4.382026634673881,1.0986122886681098,4.330733340286331,4.30406509320417,4.442651256490317,4.343805421853684,4.442651256490317,4.406719247264253,4.330733340286331,4.110873864173311,3.784189633918261,4.418840607796598,4.394449154672439,4.330733340286331,3.871201010907891,4.406719247264253,3.8918202981106265
9,3.258096538021482,4.418840607796598,1.0986122886681098,4.276666119016055,4.248495242049359,4.477336814478207,4.406719247264253,4.465908118654584,4.48863636973214,4.3694478524670215,4.143134726391533,4.30406509320417,4.430816798843313,4.499809670330265,4.3694478524670215,4.343805421853684,4.394449154672439,4.290459441148391
10,3.2188758248682006,4.356708826689592,1.0986122886681098,4.31748811353631,4.23410650459726,4.394449154672439,4.343805421853684,4.5217885770490405,4.3694478524670215,4.290459441148391,4.0943445622221,2.8903717578961645,4.330733340286331,4.330733340286331,4.394449154672439,3.8501476017100584,4.382026634673881,3.4339872044851463
11,3.258096538021482,4.3694478524670215,1.0986122886681098,4.330733340286331,4.356708826689592,4.356708826689592,4.3694478524670215,4.2626798770413155,4.406719247264253,4.356708826689592,4.330733340286331,4.31748811353631,4.406719247264253,4.406719247264253,4.3694478524670215,4.48863636973214,4.343805421853684,4.343805421853684
12,3.2188758248682006,4.356708826689592,1.3862943611198906,4.330733340286331,4.127134385045092,4.330733340286331,4.356708826689592,4.127134385045092,4.382026634673881,4.343805421853684,4.31748811353631,4.30406509320417,4.30406509320417,4.394449154672439,4.219507705176107,4.330733340286331,4.30406509320417,4.343805421853684
13,3.2188758248682006,4.382026634673881,1.0986122886681098,4.356708826689592,4.248495242049359,4.454347296253507,4.30406509320417,4.382026634673881,4.406719247264253,4.2626798770413155,4.060443010546419,3.58351893845611,4.330733340286331,4.3694478524670215,4.382026634673881,3.713572066704308,4.290459441148391,3.1354942159291497
15,3.2188758248682006,4.430816798843313,1.0986122886681098,4.406719247264253,4.0943445622221,4.394449154672439,4.418840607796598,4.290459441148391,4.442651256490317,4.465908118654584,4.343805421853684,4.3694478524670215,4.418840607796598,4.442651256490317,4.290459441148391,4.330733340286331,4.418840607796598,4.356708826689592
16,3.2188758248682006,4.343805421853684,1.6094379124341003,4.30406509320417,4.1588830833596715,4.418840607796598,4.343805421853684,4.356708826689592,4.430816798843313,4.31748811353631,3.7612001156935624,4.204692619390966,4.382026634673881,4.394449154672439,4.382026634673881,4.110873864173311,4.394449154672439,4.143134726391533
17,3.091042453358316,4.330733340286331,1.791759469228055,4.204692619390966,3.4965075614664802,4.31748811353631,4.2626798770413155,4.31748811353631,4.343805421853684,4.499809670330265,4.02535169073515,4.30406509320417,4.2626798770413155,4.343805421853684,3.9318256327243257,4.3694478524670215,4.258943914094415,4.3694478524670215
18,3.258096538021482,4.465908118654584,0.6931471805599453,4.248495242049359,3.970291913552122,4.330733340286331,4.418840607796598,4.189654742026425,4.406719247264253,4.477336814478207,4.394449154672439,4.465908118654584,4.3694478524670215,4.442651256490317,4.2626798770413155,4.454347296253507,4.430816798843313,4.465908118654584
19,3.2188758248682006,4.430816798843313,1.3862943611198906,4.418840607796598,4.31748811353631,4.406719247264253,4.3694478524670215,4.330733340286331,4.442651256490317,4.418840607796598,4.477336814478207,4.3694478524670215,4.406719247264253,4.430816798843313,4.330733340286331,4.394449154672439,4.406719247264253,4.3694478524670215
22,2.9444389791664403,4.290459441148391,2.4849066497880004,4.04305126783455,3.332204510175204,4.189654742026425,4.219507705176107,4.1588830833596715,4.276666119016055,4.343805421853684,4.51085950651685,4.290459441148391,4.110873864173311,4.290459441148391,3.295836866004329,4.430816798843313,4.258943914094415,4.31748811353631
