,potential
0,81.0
2,88.0
4,85.0
5,82.0
6,83.0
7,87.0
8,83.0
9,86.0
10,81.0
11,82.0
12,82.0
13,83.0
15,87.0
16,82.0
17,82.0
18,89.0
19,88.0
22,85.0
23,83.0
24,83.0
25,81.0
26,82.0
29,87.0
30,83.0
32,81.0
33,88.0
34,90.0
35,82.0
36,82.0
37,85.0
38,90.0
39,83.0
40,88.0
41,85.0
42,84.0
43,81.0
44,84.0
45,85.0
46,84.0
47,85.0
48,84.0
49,81.0
50,81.0
51,86.0
52,85.0
54,83.0
56,81.0
57,83.0
58,82.0
59,81.0
60,83.0
61,83.0
62,85.0
63,85.0
64,83.0
65,81.0
66,86.0
67,85.0
68,83.0
69,87.0
70,88.0
71,84.0
72,81.0
73,83.0
74,82.0
75,84.0
76,83.0
77,81.0
78,84.0
79,82.0
80,90.0
81,85.0
82,89.0
83,81.0
84,86.0
85,89.0
86,81.0
88,89.0
89,83.0
90,85.0
91,83.0
92,82.0
93,84.0
94,85.0
95,87.0
96,82.0
97,84.0
98,87.0
99,86.0
100,86.0
101,81.0
102,86.0
103,81.0
104,83.0
105,86.0
106,81.0
107,82.0
108,86.0
109,81.0
110,82.0
111,83.0
112,82.0
113,88.0
114,84.0
115,85.0
116,85.0
117,83.0
118,83.0
119,87.0
120,88.0
121,82.0
122,81.0
123,83.0
124,82.0
125,81.0
126,81.0
127,82.0
128,82.0
129,81.0
130,83.0
131,83.0
132,85.0
133,87.0
134,85.0
135,86.0
136,84.0
137,83.0
138,81.0
139,85.0
140,82.0
141,90.0
142,81.0
143,84.0
144,82.0
145,85.0
146,87.0
147,81.0
148,83.0
149,83.0
150,83.0
151,85.0
152,82.0
153,84.0
154,90.0
157,81.0
158,89.0
159,84.0
160,85.0
161,82.0
162,82.0
163,83.0
164,83.0
165,82.0
166,86.0
167,83.0
168,84.0
169,89.0
170,81.0
171,82.0
172,86.0
173,82.0
174,91.0
175,83.0
176,82.0
177,88.0
178,81.0
179,83.0
180,81.0
181,83.0
182,81.0
183,82.0
184,86.0
185,81.0
186,85.0
187,85.0
188,93.0
189,87.0
190,82.0
191,83.0
192,82.0
193,85.0
194,84.0
195,82.0
196,82.0
197,84.0
198,82.0
199,84.0
200,82.0
201,84.0
202,81.0
203,81.0
204,81.0
205,84.0
206,82.0
207,81.0
208,82.0
209,84.0
210,81.0
211,86.0
212,82.0
213,84.0
214,86.0
215,85.0
216,86.0
217,81.0
218,83.0
219,82.0
220,85.0
221,81.0
222,82.0
223,82.0
224,89.0
225,86.0
226,84.0
227,82.0
228,81.0
229,84.0
230,88.0
231,87.0
233,82.0
234,82.0
235,81.0
236,81.0
237,87.0
238,89.0
239,81.0
240,93.0
241,83.0
242,84.0
243,83.0
244,86.0
245,84.0
246,84.0
247,84.0
248,82.0
249,83.0
250,83.0
251,85.0
252,83.0
253,82.0
254,81.0
255,81.0
256,83.0
257,81.0
258,82.0
259,86.0
260,83.0
261,82.0
262,81.0
263,86.0
264,85.0
265,84.0
266,81.0
267,81.0
268,87.0
269,82.0
270,86.0
271,81.0
272,82.0
273,84.0
274,82.0
275,87.0
276,83.0
277,83.0
278,84.0
279,84.0
280,82.0
281,85.0
282,83.0
283,81.0
284,82.0
285,83.0
286,84.0
287,81.0
288,89.0
289,88.0
290,85.0
291,82.0
292,82.0
293,81.0
294,83.0
295,86.0
296,82.0
297,83.0
298,85.0
299,82.0
300,84.0
301,88.0
302,82.0
303,82.0
304,83.0
305,81.0
306,83.0
307,93.0
308,83.0
309,90.0
310,89.0
311,85.0
312,86.0
313,84.0
314,84.0
315,81.0
316,81.0
317,82.0
318,82.0
319,81.0
320,82.0
321,85.0
322,85.0
323,81.0
324,85.0
325,82.0
326,81.0
327,81.0
328,85.0
329,81.0
330,84.0
331,84.0
332,83.0
333,86.0
334,82.0
335,86.0
336,85.0
337,85.0
338,87.0
339,84.0
340,86.0
341,86.0
342,91.0
343,83.0
344,81.0
345,82.0
346,84.0
347,83.0
348,81.0
349,89.0
350,83.0
351,82.0
352,81.0
353,82.0
354,84.0
355,83.0
356,84.0
357,88.0
358,81.0
359,83.0
360,81.0
361,83.0
362,82.0
363,84.0
364,81.0
365,84.0
366,83.0
367,84.0
368,83.0
369,81.0
370,84.0
371,84.0
372,93.0
373,82.0
374,83.0
375,86.0
376,81.0
377,81.0
378,82.0
379,81.0
380,82.0
381,81.0
382,84.0
383,88.0
384,81.0
385,81.0
386,83.0
387,83.0
388,81.0
389,85.0
390,83.0
391,82.0
392,86.0
393,81.0
394,85.0
395,86.0
396,81.0
397,85.0
398,82.0
399,83.0
400,81.0
401,84.0
402,81.0
403,84.0
404,90.0
405,85.0
406,87.0
407,86.0
408,87.0
409,83.0
410,82.0
411,82.0
412,86.0
413,83.0
414,82.0
415,83.0
416,82.0
417,83.0
418,81.0
419,91.0
420,81.0
421,82.0
422,83.0
423,82.0
424,82.0
425,86.0
426,85.0
427,83.0
428,82.0
429,85.0
430,89.0
431,87.0
432,81.0
433,82.0
434,86.0
435,82.0
436,82.0
437,85.0
438,87.0
439,84.0
440,85.0
441,84.0
442,89.0
443,86.0
444,85.0
445,81.0
446,84.0
447,81.0
448,82.0
449,85.0
450,85.0
451,88.0
452,81.0
453,83.0
454,87.0
455,88.0
456,84.0
457,82.0
458,81.0
459,83.0
460,81.0
461,86.0
462,81.0
463,82.0
464,82.0
465,88.0
466,84.0
467,86.0
468,83.0
469,82.0
470,85.0
471,87.0
472,83.0
473,81.0
474,86.0
475,82.0
476,81.0
477,87.0
478,84.0
479,81.0
480,82.0
481,83.0
482,88.0
483,86.0
484,81.0
485,81.0
486,82.0
487,81.0
488,81.0
489,81.0
490,82.0
491,82.0
492,82.0
493,82.0
494,88.0
495,86.0
496,88.0
497,85.0
498,83.0
499,86.0
500,85.0
501,82.0
502,84.0
503,81.0
504,83.0
505,82.0
506,88.0
507,81.0
508,82.0
509,83.0
510,85.0
511,81.0
512,84.0
513,85.0
514,81.0
515,83.0
516,86.0
517,82.0
518,84.0
519,81.0
520,83.0
521,82.0
522,87.0
523,81.0
524,81.0
525,81.0
526,84.0
527,81.0
528,81.0
529,87.0
530,84.0
531,86.0
532,82.0
533,83.0
534,84.0
535,81.0
536,83.0
537,81.0
538,82.0
539,84.0
540,88.0
541,82.0
542,85.0
543,81.0
544,82.0
545,81.0
546,88.0
547,81.0
548,83.0
549,81.0
550,83.0
551,83.0
552,83.0
553,85.0
554,82.0
555,82.0
556,82.0
557,81.0
558,81.0
559,81.0
560,84.0
561,83.0
